Name,Element,BaseAttack,BaseHP,Rarity,WeaponType,Birthday,Constellation,Vision,StoryProfile
Diluc,Pyro,335,12981,5,Claymore,4/30,Noctua,"Crepus had two regrets in his life: One was never becoming a knight, and the other was never obtaining a Vision.

For this reason, in the moment Diluc received his Vision, he took it as recognition by the gods of his and his father's shared ambition — finally, he could make his father proud.

Just a few years later, his father died on a dark gloomy day. The hopes and dreams that burned bright in Diluc's Vision were extinguished in the torrential rain that fell on that night. No matter how upright and good-hearted a person may be, death will still come to them without warning. Is this where the tale of justice ends? Just like that?

It seems to him that his Vision and his status as a knight were both equally ineffectual at enabling him to protect the things that he treasured most. It was time to discard them both, he decided.

When he recognized his own powerlessness, his Vision became but a burden, of no greater service than a Delusion. Empty titles were of no interest to him. He sought after ardent flames that would burn brighter than any other, and an unshakable resolve. Only a firm resolve can drive the truth-seeker forward, and only ardent flames can vanquish the ice that freezes the hand of justice.

On the day Diluc returned to Mondstadt, he took up his Vision once more. The events of his years away had purged him of his childish immaturity, and turned him into a hero ready to shoulder his father's will once more. Each night, he fought for Mondstadt.

He did not discuss the past. But he did not deny his past, either. To the lost, perhaps a Vision is a beacon of light given by the gods to help them find a way forward. But for those with conviction, a Vision is simply an extension of their strength, a medium for channeling their willpower, a tribute to the experiences that have shaped them, and a testament to the story of their life so far.","As the city of ballads and wines, Mondstadt's alcohol industry is renowned all over Teyvat.

As the owner of the Dawn Winery, Diluc is essentially in charge of the industry. This means he has a huge stream of revenue and an entire network of information in the form of tavern patrons' gossip right at his fingertips.

In a way, he is the uncrowned king of Mondstadt."
Venti,Anemo,263,10531,5,Bow,6/16,Carmen Dei,"The Seven Archons do not need Visions, for they already have great power.

Yet Barbatos was fond of the mortal world, and wanted to roam Mondstadt more freely as Venti. As such, he constructed a glass ornament very much like the Visions worn by those chosen by the gods.

The imitation has no special abilities, nor does Venti rely on it to channel elemental power.

However, since Venti does not keep the Holy Lyre der Himmel by his side, and since he is too lazy to bring a normal lyre, he gave his fake Vision the ability to turn into the wooden lyre Der Fruhling.","An unknown bard that came from nowhere.

He sometimes sings outdated songs, other times he hums new ones that none have ever heard of. He likes apples and lively atmospheres, but hates cheese and anything that is slimy.

When channeling Anemo, it appears in the form of out-stretched feathers, because he likes things that look light."
Klee,Pyro,311,10287,5,Catalyst,7/27,Trifolium,"Asking Klee how she obtained a Vision will probably get you nowhere — she doesn't know either.

A natural-born pyromaniac, Klee had already been acknowledged by a Vision from a very young age.

According to Klee herself, she had been creating a bomb that was even bigger than super big!

This was her very first solo project, but the results were far from expected —

Well, she only blew her small workshop sky high, leaving a mountain of smoking ash.

But rather than being disappointed, Klee was pleasantly surprised to see a flaming Vision emerge from those ashes.

How did Klee receive this divine acknowledgment?

Was it her talent and passion for explosives, the individualistic nature she got from her mother, or her shining innocence?

Regardless, Klee had already obtained such a coveted item at a tender, carefree age.

Regardless of what she faces as she grows up, she will never give this present up.
","When asked about the strongest knight of the Knights of Favonius, three names are likely to come up from the patrons in the taverns of Mondstadt: the highly-reputable Acting Grand Master Jean, Cavalry Captain Kaeya, and the mysterious tycoon Diluc. However, some claim to have witnessed, through drunken eyes or pale moonlight, a knight in red, leveling the entire Stormbearer Mountains.

If one wants to find this mysterious knight, then they need look no further than the solitary confinement cell inside the Knights of Favonius Headquarters. If the cell is found vacant... then something explosively unfortunate is likely about to take place...

Klee is well known for the danger she presents. As an official member of the Knights of Favonius, her strength in combat cannot be underestimated. But as the hyperactive child that she also is, her destructive capabilities should not be overlooked either.

While other Mondstadt children her age are still playing with regular toys, Klee's favorite toys are... live explosives."
Bennett,Pyro,191,12397,4,Sword,2/29,Rota Calamitas,"Bennett's passion for adventure is unstoppable.

He wants to constantly explore, challenge, sweat it out, and eventually grow old on the adventurer's path.

But there was once when he met with a true crisis.

Just as that old adventurer had so long ago, Bennett was in a predicament that would cause any other person to despair.

Losing this much blood... Not good.

But Bennett did not stop. There's no reason to turn back, he thought.

Somehow, he just knew that all the agonizing misfortune he had suffered up till this point was for the sake of overcoming this precarious position.

But at the end of his hellish journey, what he found at the end was — nothing at all.

Ha, returning empty-handed is... part of an adventure. I... don't mind...

At last, his tightly-wound emotions came loose, allowing his many injuries to rob him of his consciousness, and he collapsed.

When he reawakened, he found that his wounds had been cauterized by a mysterious flame, stopping both the bleeding and the pain.

A jewel pulsed warmly in the palm of his hand, its rhythm in time with the heartbeat in his chest the beating heart of an adventurer.

This was not the mercy of the world, or that fate took pity on him. Rather, this was his final reward, one befitting a person with Bennett's burning passion.","Benny's Adventure Team is an exception to the norm in the Adventurers' Guild, Mondstadt Branch.

Initially, the team mechanism requiring at least 3 or 4 regulars in each team was set up to promote mutual support and prevent accidents.

As for Benny's Adventure Team, however, its only regular member has been Bennett himself.

The lack of team members essentially has everything to do with Bennett's infamous bad luck.

However, being the passionate adventurer he is, Bennett never feels lonely.

Well, maybe once or twice, sometimes..."
Mona,Hydro,287,10409,5,Catalyst,8/31,Astrolabos,"To Mona, that her Vision was sent to her from the gods doesn't mean a great deal.

This is not to say that possessing an external focus for elemental power is not useful.

Having power is always a good thing, but when compared to lofty truth, martial prowess is such a pathetically small concept.

The gods, too, are bound by the rules of this world. Mona seeks the final truth of the world, hidden amidst the sea of stars.

As such, she does not have any reverence for her Vision, which the people of this world consider to be a sign of divine favor and the source of all power.

Nonetheless, this item that serves no practical use in her hands is something that she treasures greatly.

It was gifted to her by her teacher as a teaching aid, and it is the only evidence of their time together as master and pupil.

She preserves these distant memories with great care. This exquisitely-made teaching aid thus accompanied her everywhere, like an accessory worn by any other maiden.

Until one day, when a Vision of her very own would quietly indwell this old teaching aid...","Teyvat is a place where people of all sorts go about their business. Merchants move product, knights patrol, and farmers till the land.

But if one were to ask Mona — the enigmatic and prideful astrologist — what she busies herself with, she will reply by saying that she is servicing a debt known as life.

She will, however, vigorously deny being poor, giving the following explanation:

Beautiful veneers may obscure simple truths.
Exquisite food may mask its nutritional value.
One lives simply, all the better to expose this world's truths.

A frugal lifestyle, therefore, is a form of training to access the truth... Or so Mona will insist.

Teyvat is a place where people of all sorts go about their business, and even an enigmatic astrologist must look to hers.

—That said, it seems like bards might be the exception to this rule."
Xiao,Anemo,349,12736,5,Polearm,4/17,Alatus Nemeseos,"All adepti are known as the mighty and illuminated adepti, and this illumination refers to the light of a third eye that they possess: a Vision.

But do adepti receive their Visions as a form of acknowledgment from Celestia, like humans do?

Xiao no longer remembers the moment he received his Vision. To humans, this would be an unforgettable event. But for him, this was just the beginning of his endless battle.

The thing that Xiao truly cannot forget is something different.

There are a great many human festivals, and few remember the stories behind them.

The greater part of these days coincide with occasions where man-eating monsters were defeated by the adepti host. People imitated their deeds and staged exorcism rituals to remember their ancient heroism, with these practices eventually evolving into celebratory festivals.

The hatred and residual might of many of the gods defeated by Morax throughout Liyue will sometimes erupt with abnormal force amid their half-awake, half-dreaming state. Among them, the eruption that takes place during the Lantern Rite is the most extreme in scale.

Xiao has his mission to perform the time-honored Nuo Dance of Evil Conquering, and so he fights night and day during the Lantern Rite. Thus, he has come to hate it.

Now, Xiao did not consider battle dangerous. It was due to his hard work that Liyue was kept safe. People lit their lanterns, and the blessed lights shone across the night sky and the nearshore.

At that moment, another special feeling blossomed in Xiao's heart. Loneliness? Peace? Or was it his fears for the future? The young-seeming adeptus searched his heart, only to find no answers.","Xiao may have the appearance of a young man, but his true age is something over two thousand years.

Fortunately, people do not tend to underestimate him on the basis of his appearance — one only needs to spend a short time with Xiao to clarify that he is not someone to be trifled with.

Xiao is a man of few words. He is highly dangerous, and has the most piercing gaze you've ever seen. He enjoys a formidable reputation and high level of seniority among the adepti, but is relatively unknown in the mortal realm.

This is inevitable. Xiao is not one of those popular deities to whom people pray for wealth and protection, nor is he a mystical sage of Jueyun Karst to whom pilgrims flock in search of divine wisdom.

No... if any mortal witnesses Xiao unleashing his true power, it is certain to be under the direst of circumstances — and they will be extremely lucky if they survive the ordeal.

This is not because Xiao seeks to harm people. Rather, since Xiao wages a constant war against dark forces powerful enough to devour Liyue in its entirety, any bystanders who witness him in the heat of battle are likely to end up as collateral damage. Not that this is a secret worth going around silencing witnesses for."
Xingqiu,Hydro,202,10223,4,Sword,10/9,Fabulae Textile,"The martial arts school known as the Guhua Clan has been in decline for several hundred years now. In its heyday, the name of the Clan rang like steel throughout the harbor. It is said that the Clan three great secret arts — the ways of the Light Piercer for polearms, Rain Cutter for swords, and Life Ender for those who excelled in both. The three arts would be refined over the generations, and with time would reach their apex. Yet the Clan's strength would continue to wane, leading to them losing their influence...

The three arts became diamonds in the rough, quietly awaiting a successor.

After many years, the Guhua Clan would finally get one in Xingqiu. It was he who successfully grasped the ancient Martial Principle after merely four years of study.

The Guhua weapon arts stress using the weapon as an extension of your body, and indeed this is a common idea amongst the various schools of martial arts in Liyue. But the way Xingqiu saw it, the basis of the polearm and sword was the use of a Vision. Martial arts were meant to see a Vision as an extension of themselves, and see their weapon as an extension of the Vision. Hence, he says that: the arts of both the polearm and the sword are just the art of the eye.

Having come to this epiphany, Xingqiu took up a quill and penned a verse on the Martial Principle. Reading it, the Guhua head was shaken with tears, declaring that it is not Xingqiu who needs the Guhua Clan, but the Guhua Clan that needs Xingqiu. Since then, this verse has been sealed up at the Clan headquarters at Wangshan Hall. Disciples are proscribed from reading it, much less outsiders.

The verse reads thus:

Guhua's arts I have studied long, in its secrets I am trained, now its long-lost depths fall upon me like the coming of blessed rain. The beating heart of Guhua's sword art is as a shower of floating flowers. One amidst may seize a bloom, but those without read only doom.
The Guhua lance is a lantern's dance, like flames in night's deep glooming. Like sparks, they scatter with ease in the dark, then join like the daybreak looming.
They say the sword is as your arm — I say its glint is the beholder's eye, a light like the bright dawn coming.
Those who wander are burdened not. Freely they cut rain, and enlightened they pierce light. Like a snaking dragon, they cannot be subdued. In their right eye the blade, and in the other the spear.
This text should have been free for all to read. The only reason why it was sealed is the dreadful penmanship.","Every merchant in Liyue Harbor knows of Xingqiu from the Feiyun Commerce Guild.

All see him as a kind and well-mannered young man who is an excellent student, a top talent in every sense.

As the second-born son of the family, Xingqiu is not required to shoulder the burden of managing the Guild's affairs. However, Xingqiu possesses a unique scholarly talent among his peers — that is, the offspring of Liyue's wealthiest merchants — and was often praised by his tutors as a young student.

Xingqiu's elder brother, while he was learning the family business from their father, firmly believed that Xingqiu would become a great asset to the business one day.

However, little did he know that Xingqiu, after finishing the dauntingly thick volumes on commerce and philosophy, would hollow them out and sneak martial art novels into them, which he read incessantly thereafter.

Sometimes, Xingqiu suddenly disappears for hours at a time with no explanation. When asked why, he simply replies: A moment of solitude."
Zhongli,Geo,251,14695,5,Polearm,12/31,Lapis Dei,"Diona's antipathy towards alcohol is not hate per se. Instead, it can be considered a form of avarice.

She wishes for her father to always be the man that she admires, and she treasures every moment that she spends with her family, unwilling to share her happiness with the wine.

There was once a storm that lasted for three days, and for those three days, her father, who had been out hunting, did not return.

The awful weather prevented the search parties sent by the Knights of Favonius from making much headway, and soon the dread of loss began to hang over Diona like a shroud.

If she could not even stand to share, how could she bear having something utterly stolen from her?

She burst out the door and into the tempest, and the waters that stood in her path were frozen by some power she did not recognize.

Using her superlative tracking skills, she found her father under a broken gorge.

With the help of other hunters, she returned home with her father, and only once she realized that he would be fine did she finally smile again.

Do you... want me to mix you a drink? It'll numb the pain a little...

That was probably the first time she ever mixed a drink in a normal fashion.

Ooh, it's so refreshing. It's wonderful! Hahaha—Ouch...

Getting to drink a cocktail that his daughter had made was probably a better anesthetic by far than the alcohol itself.

Still, Diona gaining power over Cryo did not help reconcile her to wine at all.","Liyue and Inazuma share a common saying: Its fins formed the ocean deep, its tail the mountains high. The fishermen learned this phrase while ashore long ago, and sang it over and over, spreading the tune far and wide till it became the oft-praised song people know today. Whenever the mists gather over the sea's surface, one can hear the distant song of the fishermen hidden in the white shroud: its fins formed the oceans deep, its tail the mountains high...

This was Beidou's childhood lullaby. The tale of Rex Lapis smiting the sea monsters had become legendary among the people of Liyue. As a child, Beidou loved such tales, and in her dreams, she thought: I too should like to see this giant fish.

This day, however, she sang this song with a different emotion in her heart. Her entire crew sang along as they sailed.

Haishan was in the waters with them — at once like a dragon and a fish, it was larger than any could have imagined in their worst nightmares, and mighty as a deity, raising waves dozens of meters high with ease.

Those who ply their trade on the high seas are destined to meet Haishan eventually. Beidou had longed to do so since she was nine, dreaming of slicing its head off in a single blow.

Many times she had challenged the creature, and many times she had failed. But this day was different. This day she charged at Haishan with her best greatsword in hand, and crack sailors at her back.

The battle would rage fiercely for four days. With cannons and harpoons, arrows and ropes the fleet would assail Haishan, while Beidou battled the thusty tied-down creature for ten hours, well into the night.

Now, nighttime was when Haishan was in its element, and in their vigilance not a single member of the fleet even dared sleep a wink. Beidou stood upon the prow, listening to the wind.

One strike. Just one strike. That was all she needed. And so she waited, unmoving, in the freezing wind.

Then, at the crack of dawn, having neither eaten nor drank throughout the night, Beidou heard a change in the sound of the waves.

With one almighty strike that sounded as if it could have sliced the moon in two or ripped a mountain from the face of the world, she chopped the leviathan's head clean off!

The sound of thunder filled the heavens, and a single bolt of purple lightning struck the ocean right in front of Beidou, even as she bathed in the blood of her nemesis.

Thus descended a Vision to the slayer of the sea monster, its violet glow as stunning as lightning, and its immaculate, jeweled form a treasure more precious than dragon blood. A suitably divine gift for the hero who subdued Haishan."
Tartaglia,Hydro,301,13103,5,Bow,7/20,Monoceros Caeli,"Rex Lapis has brought prosperity and plenty to Liyue Harbor, and his rule and majesty have long passed into show and song, much to the delight of the people. But for some proximity to a god, Keqing seems to lack the requisite respect the most.

Hmph. Let's be real here, but does Morax really know everything?

The Liyue Qixing deal with the day-to-day happenings in the Harbor, whether great or small, while Rex Lapis only descends once a year.

While history has shown that following Morax's lead has been the right call, Keqing believes that humans should have their own pride, and that their views deserve equal importance.

As such, she often advocates different opinions from Rex Lapis, and is the first to put such views into practice.

Her radical actions have seen stellar results, but they have also attracted murmurings of opprobrium among those devoted to Rex Lapis.

As Keqing sees it, such opposition are the excuses of those who have grown complacent under the aegis of their deity, and who cannot consider the future of humanity of their own accord.

But someone must walk on the front line of the epoch and create a new path with their own hands — and the Yuheng star is determined to do her part in this endeavor.","Despite holding one of the most senior positions in the Fatui as one of the Eleven Harbingers, Childe very much looks like the young adult that he still is.

He is a wolf in sheep's clothing, however, for under the cheerful and confident appearance lies a deadly swordsman.

He is the youngest among the Harbingers, but one of the most dangerous among their number. That said, Childe doesn't seem to fit in well with the others.

As a fighter first and foremost, he is quite at odds with this organization of deceit and treachery."
Ganyu,Cryo,335,9797,5,Bow,12/2,Sinae Unicornis,"Qilin are paragons of benevolence among the adepti, drinking only freshwater and eating only plants. Flies they will not hurt, and a bruised reed they will not break. They do not travel in groups, and no trap will hold them. They are leisurely yet composed, active but reserved — a gentle and elegant race. Yet when a wicked beast from the sea arose and threatened the land beneath their feet, they did not stand idle or choose peace when there was none. Three thousand years ago, Ganyu answered the call of Morax the God of Geo, aiding him in the Archon Wars. And when the war was over, she chose to stay in Liyue and help the humans build a new polity there. The first Liyue Qixing would need support, and she took this task up as a matter of course, becoming their secretary. The moment she made that decision, a Vision appeared at her hip, granting her power to resonate with the world to a degree beyond her natural abilities. Whether she would grow strong enough to no longer need it, or whether she would use it as a last resort in Liyue's defense... Regardless, she chose to serve as the bridge between adepti and humans. Her Vision, then, was proof and witness of her new duty.","Though many in Liyue are fascinated by life in Yujing Terrace, its day-to-day operations and rules are a mystery to them.

They are aware that the Liyue Qixing are the cream of the crop who hold the fate of the city in their hands, but the calculations and data behind the Qixing's every decision are far harder to grasp.

The people understand that the new policies announced each year will change the dynamics of the market, yet none can comprehend how policy is plucked from complex meeting minutes and compiled into something easier on the human eye.

As the secretary of Yuehai Pavilion, Ganyu undertakes many tasks that ordinary folk do not see. The calculations and data behind the Qixing's every decision in Liyue, as well as every ordinance and regulation that is announced, are all the meticulous work of Ganyu.

Each daybreak she stands by the dock, enjoying her breakfast in silence. Even still, by the time the sun has fully risen, she will have returned to Yuehai Pavilion overlooking Yujing Terrace, to continue to fulfill her contract — one that she signed three thousand years ago with Rex Lapis."
Hu Tao,Pyro,244,9189,5,Polearm,7/15,Papilio Charontis,"This tale should begin with the funeral of Hu Tao's grandfather.

Ten days before the funeral itself, Old Hu had passed away following a bout of illness. For its 75th Director, Wangsheng Funeral Parlor held a grand funeral, in accordance with the last wishes of the old man himself, to be conducted by Hu Tao.

Only thirteen at the time, Hu Tao, who would later go on to become the Director in turn, made all the arrangements herself to the highest standard, greatly impressing the undertakers.

After the funeral, the thirteen-year-old Hu Tao grabbed her traveler's bag and crept out alone in the dead of night. In her bag were only a few rations, some water, and a means to create some light. She was headed to a mysterious and seldom-seen frontier.

Heading straight from Wuwang Hill, one may arrive at the border. It is the line that separates life and death, the secrets of which have been managed by Wangsheng Funeral Parlor for generations. According to legend, it is a place where the souls of past relatives and the spirits of those with unfulfilled aspirations linger. For Hu Tao, this journey was a chance to see her grandfather once more before he departed forever.

For two days she journeyed unceasingly before finally arriving at her destination, yet was unable to locate her grandfather upon arrival. Between the innumerable spirits she walked, but not one of them resembled the old man.

She stayed there the whole day before falling asleep in exhaustion, awakening to a night sky and heavy dew. Around her were gathered a few lone spirits, clapping and laughing:

Silly girl, why would Old Hu be here of all places? What were you thinking, looking for your relatives here?

Not one to be swayed so easily, Hu Tao continued to wait, day after day. Her rations gradually disappeared and her water supplies drained away, but her grandfather did not appear. In the end, it was a little old woman who came to her.

She laid eyes on the exhausted Hu Tao and smiled as she spoke: Look at your stubbornness, you're exactly like Old Hu. It's a shame, but none of the Wangsheng Funeral Parlor Directors would ever linger here. You come from a family of plain speakers, so let me return the favor... Go back. Go back to where you came from.

The old woman bid farewell to Hu Tao, before passing over the border and into the distance. Hu Tao watched as the figure of the mysterious woman grew smaller and disappeared, as a sense of doubt tinged with relief manifested itself.

At last she came to the conclusion: her grandfather's absence was due to him having passed over the border as soon as he'd arrived, to the place where he was bound. He had been open and honest in life, leaving behind no regrets, so was it right for his departure to be framed in regretful terms?

With a smile, she set forth on the return journey.

The faraway moon had been casting a thin light on the way over but had now been replaced by the bright light of dawn. As she walked, Hu Tao thought of a saying that her grandfather had often quoted: Live in life, die in death. Follow your heart, do what you can.

It was noon when Hu Tao arrived home. She climbed over the wall into the rear courtyard, went straight to her room, and unpacked her travel bag.

With her food and water long gone, and the rest of her belongings unpacked, the bag she had taken for empty instead contained a colorful Vision. Just when had it arrived?

As one of the few living that had dared to visit the border, perhaps Hu Tao's actions had moved some unknown god.

Perhaps this then constituted a heavenly gift... the ultimate recognition of her strength.","The 77th Director of the Wangsheng Funeral Parlor, a young lady managing the parlor's operations. Despite her position, she's an amiable person who puts on no airs.

Her antics are as plentiful as the sand on Yaoguang Shoal. She never ceases to shock people with her countless bizarre ideas.

Hu Tao may seem like all play and no work, spending every free moment on leisure and being widely considered a laissez-faire business owner.

It is only during funeral ceremonies, when she personally leads her undertakers through lamp-lit alleys, that she shows her dignified and solemn side."
Jean,Anemo,239,114695,5,Sword,3/14,Leo Minor,"If one were to go by skill alone, Jean has long become one of the best swordsmen in Mondstadt. But in Jean's heart, she would rather be a shield that defends freedom and song than a sword that cuts through corruption and darkness.

Protecting has always been tougher than destroying. Around the time when she was promoted from Captain of her squad to Master of Knights, a huge challenge stood before her.

From without, the Fatui exerted diplomatic pressure, and from within, there were traitors — comrades of the former Inspector. Regrouping and finding a way to break through was no easy task.

But Jean was able to fend off the external pressure with one hand, and lead the Knights to smash the many plots off the Abyss Order with the other, re-establishing the authority of the Knights of Favonius.

Jean will never forget the moment she received her Vision. At that moment, all seemed to grow quiet as she felt the breeze flow through her hand. The world seemed to fade away, save for the time-honored motto of the house of Gunnhildr:

For Mondstadt, as always.","The Knights of Favonius are the protectors of Mondstadt, the swords and shields of the city.

In addition to keeping the city and the surrounding travel routes safe from the threat of wild monsters, the Knights' most important responsibility is maintaining order among Mondstadt's inhabitants.

Mondstadt is the City of Freedom, but unchecked freedom without any kind of rules only invites chaos and anxiety. Jean's understanding of this is the reason she remains diligent at all times, holding herself to impeccable standards.

However, she often finds that she exhausts her monthly quota of coffee within the first few days of the month as a result."
Razor,Electro,234,11962,4,Clayore,9/9,Lupus Minor,"The story of how Razor got his Vision is one of the few memories that he wishes he could forget.

One day, during a lightning storm, an Abyss Mage ambushed Razor from behind and dragged him away. The wolf pack ran to his aid and put up a fearless fight, but every last one of them was defeated by the Abyss Mage. As he looked on helplessly at his dear companions being harmed, Razor let out an almighty roar like that of a cornered animal.

Lupical!

Fueled by his almighty fury, a lightning-like power grew inside, and suddenly an overload of elemental energy was flowing within him. He was ready to protect. He was ready to avenge. He threw off his shackles and raised his weapon. The Abyss Mage was overwhelmed and defeated by wild, unfettered frenzy of Electro energy, but this time it was too late to save Razor's wolven companions.

...

Though he had obtained a Vision, Razor was still unable to manipulate Electro energy with finesse. One day many moons later, when he met the Witch of Purple Rose, Lisa, he began to study human knowledge.

Friends, hurt... Never again! I will... protect them.

With each day, Razor grew more skilled in the use of his Vision. He made a silent promise to himself: I will become stronger. I will become the strongest of them all. Because the day may come when his lupical faces another threat, and this time, he will protect them.","Razor is a boy whose identity is shrouded in mystery. He lives in Wolvendom and is rarely spotted by the citizens of Mondstadt.

According to a handful of eyewitness accounts, Razor has keen senses and is highly agile, traversing the forest at breakneck speed. He is often seen in the company of his wolf pack, while generally avoiding contact with humans.

Some speculate that he was an orphan raised by the wolves, while others say he is a wolf spirit that has taken on a human form.

Such rumors only add to the mystery of the Wolf Boy, as the citizens of Mondstadt call him.

Meanwhile, Razor the Wolf Boy stands all the while on the hilltops with his head held high, basking in the warm sunlight."
Noelle,Geo,191,12071,4,Claymore,3/21,Parma Cordis,"Noelle did once wish to fulfill her dreams before its time.

Some years ago, after failing her seventh selection test, which was really a foregone conclusion, she felt somewhat discouraged.

The etiquette, swordsmanship, the lines she had memorized... had they all gone to waste? She remembered all the strong points of every official knight, but who would remember the hard work of a failure like her?

She had never stopped aspiring to become a Knight of Favonius, but her exhausted body wouldn't let her get back on her feet like she normally would. She felt like someone who had spent days and nights traveling through an icy tundra.

At that moment, the main gate of the Knights Headquarters were flung upon, and out walked Acting Grand Master Jean, who had just been in charge of the selection process.

Without a thought, Noelle gave a precise knight's salute. Immediately, she knew that this was too abrupt a thing to do, and wondered what Jean might think of her. But just as she was wishing that there was some hole she might crawl into to flee, Jean stopped in her own tracks and returned the salute. After a moment's surprise, Noelle gave a strained smile, clumsy but pure.

This was a lucky day that she would always remember, for she would receive recognition from two all-important sources this day: once from Jean, and the other from the gods. Her hard work has been remembered after all.

From that day forward, Vision in hand, Noelle reaffirmed her belief that she would one day be able to don that armor. That she would be gentle and reliable — and yes, everywhere at once too.","Noelle has much greater dreams and ambitions than other maids in the Knights of Favonius.

Like anyone else in this city protected by the Knights of Favonius, she too dreams of donning the honored armor. Even if her skills are not enough to pass the rigorous selection trials, she still wishes to observe and learn from them every chance she gets. 

side from her training, she enjoys her current life, helping everyone in need.

You can leave absolutely anything to me!

That's her signature line. If there's anything that you need, Noelle is glad to be of help."
